,countryiso3code,country,date,life_expectancy,gdp_per_capita,health_expenditure,unemployment_rate,log_gdp,le_group,unem_group
204,,Low income,2022,63.4583410155387,2493.61487371356,5837.66878621092,4.77300365505371,7.821488693190536,High,Low Unemployment
205,,Low income,2022,63.4583410155387,2493.61487371356,5837.66878621092,,7.821488693190536,High,
206,,Low income,2022,63.4583410155387,2493.61487371356,5837.66878621092,6.0139105551006,7.821488693190536,High,Low Unemployment
207,,Low income,2022,63.4583410155387,2493.61487371356,40.264442766294,4.50967085383543,7.821488693190536,High,Low Unemployment
208,,Low income,2022,63.4583410155387,2493.61487371356,40.264442766294,5.672232196208,7.821488693190536,High,Low Unemployment
209,,Low income,2022,63.4583410155387,2493.61487371356,40.264442766294,4.77300365505371,7.821488693190536,High,Low Unemployment
210,,Low income,2022,63.4583410155387,2493.61487371356,40.264442766294,,7.821488693190536,High,
211,,Low income,2022,63.4583410155387,2493.61487371356,40.264442766294,6.0139105551006,7.821488693190536,High,Low Unemployment
212,,Low income,2022,63.4583410155387,2493.61487371356,93.7196113288266,4.50967085383543,7.821488693190536,High,Low Unemployment
213,,Low income,2022,63.4583410155387,2493.61487371356,93.7196113288266,5.672232196208,7.821488693190536,High,Low Unemployment
214,,Low income,2022,63.4583410155387,2493.61487371356,93.7196113288266,4.77300365505371,7.821488693190536,High,Low Unemployment
215,,Low income,2022,63.4583410155387,2493.61487371356,93.7196113288266,,7.821488693190536,High,
216,,Low income,2022,63.4583410155387,2493.61487371356,93.7196113288266,6.0139105551006,7.821488693190536,High,Low Unemployment
217,,Low income,2022,63.4583410155387,2493.61487371356,,4.50967085383543,7.821488693190536,High,Low Unemployment
218,,Low income,2022,63.4583410155387,2493.61487371356,,5.672232196208,7.821488693190536,High,Low Unemployment
219,,Low income,2022,63.4583410155387,2493.61487371356,,4.77300365505371,7.821488693190536,High,Low Unemployment
220,,Low income,2022,63.4583410155387,2493.61487371356,,,7.821488693190536,High,
221,,Low income,2022,63.4583410155387,2493.61487371356,,6.0139105551006,7.821488693190536,High,Low Unemployment
222,,Low income,2022,63.4583410155387,2493.61487371356,618.84502765484,4.50967085383543,7.821488693190536,High,Low Unemployment
223,,Low income,2022,63.4583410155387,2493.61487371356,618.84502765484,5.672232196208,7.821488693190536,High,Low Unemployment
224,,Low income,2022,63.4583410155387,2493.61487371356,618.84502765484,4.77300365505371,7.821488693190536,High,Low Unemployment
225,,Low income,2022,63.4583410155387,2493.61487371356,618.84502765484,,7.821488693190536,High,
226,,Low income,2022,63.4583410155387,2493.61487371356,618.84502765484,6.0139105551006,7.821488693190536,High,Low Unemployment
227,,Low income,2022,63.4583410155387,,5837.66878621092,4.50967085383543,,High,Low Unemployment
228,,Low income,2022,63.4583410155387,,5837.66878621092,5.672232196208,,High,Low Unemployment
229,,Low income,2022,63.4583410155387,,5837.66878621092,4.77300365505371,,High,Low Unemployment
230,,Low income,2022,63.4583410155387,,5837.66878621092,,,High,
231,,Low income,2022,63.4583410155387,,5837.66878621092,6.0139105551006,,High,Low Unemployment
232,,Low income,2022,63.4583410155387,,40.264442766294,4.50967085383543,,High,Low Unemployment
233,,Low income,2022,63.4583410155387,,40.264442766294,5.672232196208,,High,Low Unemployment
234,,Low income,2022,63.4583410155387,,40.264442766294,4.77300365505371,,High,Low Unemployment
235,,Low income,2022,63.4583410155387,,40.264442766294,,,High,
236,,Low income,2022,63.4583410155387,,40.264442766294,6.0139105551006,,High,Low Unemployment
237,,Low income,2022,63.4583410155387,,93.7196113288266,4.50967085383543,,High,Low Unemployment
238,,Low income,2022,63.4583410155387,,93.7196113288266,5.672232196208,,High,Low Unemployment
239,,Low income,2022,63.4583410155387,,93.7196113288266,4.77300365505371,,High,Low Unemployment
240,,Low income,2022,63.4583410155387,,93.7196113288266,,,High,
241,,Low income,2022,63.4583410155387,,93.7196113288266,6.0139105551006,,High,Low Unemployment
242,,Low income,2022,63.4583410155387,,,4.50967085383543,,High,Low Unemployment
243,,Low income,2022,63.4583410155387,,,5.672232196208,,High,Low Unemployment
244,,Low income,2022,63.4583410155387,,,4.77300365505371,,High,Low Unemployment
245,,Low income,2022,63.4583410155387,,,,,High,
246,,Low income,2022,63.4583410155387,,,6.0139105551006,,High,Low Unemployment
247,,Low income,2022,63.4583410155387,,618.84502765484,4.50967085383543,,High,Low Unemployment
248,,Low income,2022,63.4583410155387,,618.84502765484,5.672232196208,,High,Low Unemployment
249,,Low income,2022,63.4583410155387,,618.84502765484,4.77300365505371,,High,Low Unemployment
250,,Low income,2022,63.4583410155387,,618.84502765484,,,High,
251,,Low income,2022,63.4583410155387,,618.84502765484,6.0139105551006,,High,Low Unemployment
252,,Low income,2022,63.4583410155387,10324.5193124329,5837.66878621092,4.50967085383543,9.242276861048913,High,Low Unemployment
253,,Low income,2022,63.4583410155387,10324.5193124329,5837.66878621092,5.672232196208,9.242276861048913,High,Low Unemployment
254,,Low income,2022,63.4583410155387,10324.5193124329,5837.66878621092,4.77300365505371,9.242276861048913,High,Low Unemployment
255,,Low income,2022,63.4583410155387,10324.5193124329,5837.66878621092,,9.242276861048913,High,
256,,Low income,2022,63.4583410155387,10324.5193124329,5837.66878621092,6.0139105551006,9.242276861048913,High,Low Unemployment
257,,Low income,2022,63.4583410155387,10324.5193124329,40.264442766294,4.50967085383543,9.242276861048913,High,Low Unemployment
